"itemidhash=""0xA4D3BFA1"", QH_GR_CM"
"itemidhash=""0x0103F343"", QH_VBAT"
"itemidhash=""0x586E17A1"", QH_HEGO2"
"itemidhash=""0x586E0D01"", QH_HEGO1"
"itemidhash=""0x181F0ED8"", QH_TOT"
"itemidhash=""0x1840B6D8"", QH_ECT"
"itemidhash=""0x186A1B78"", QH_PDL"
"itemidhash=""0x73A61E55"", QH_PIPCTR"
"itemidhash=""0x25B906B4"", QH_INJDC_15MHZ"
"itemidhash=""0x1ED63BE2"", QH_PW1_15MHZ"
"itemidhash=""0xD304CE60"", QH_EFTRFF"
"itemidhash=""0xC0C11EF4"", QH_BP"
"itemidhash=""0x1848B6D8"", QH_ACT"
"itemidhash=""0x84E733D1"", QH_DSDRPM"
"itemidhash=""0xC604A5FF"", QH_ISCFLG"
"itemidhash=""0xE4C4D3EE"", QH_KAMRF2"
"itemidhash=""0xE4C4C94E"", QH_KAMRF1"
"itemidhash=""0x8222E9C5"", QH_AEFUEL"
"itemidhash=""0xB8DBF317"", QH_SPK_SOURCE"
"itemidhash=""0xA24EE451"", QH_SAFTOT"
"itemidhash=""0xECEE727E"", QH_IPSIBR"
"itemidhash=""0xC633117F"", QH_ISCDTY"
"itemidhash=""0x960F7F5C"", QH_LAMBSE2"
"itemidhash=""0x960F65FC"", QH_LAMBSE1"
"itemidhash=""0x84DBD745"", WB_AEM_ER"
"itemidhash=""0xADD2AB50"", QH_MAPOPE"
"itemidhash=""0x27A62101"", QH_ATMR1"
"itemidhash=""0x2458C615"", QH_VSBART_RT"
"itemidhash=""0x24B8E450"", QH_DASPOT"
"itemidhash=""0xA6061F99"", QH_N"
"itemidhash=""0xC0C240F4"", QH_AM"
"itemidhash=""0x5A7F0937"", QH_MAP_WORD"
"itemidhash=""0xADD2AB50"", QH_MAPOPE"
"itemidhash=""0x4DECE2EB"", WBO2-AEM"
"itemidhash=""0x39549212"", QH_TP_REL_CALC"
"itemidhash=""0xA6061F99"", QH_N"
"itemidhash=""0x04485A13"", FUEL_APT_LAST"
"itemidhash=""0x39549212"", QH_TP_REL_CALC"
"itemidhash=""0xEEAB4209"", QH_KNK_SNS1_CN"
"itemidhash=""0x262009CD"", OL_DES"
"itemidhash=""0x260857DF"", QH_Fuel_Error1"
